INTL ARRIVALS FOR,,,,1-Aug,,,,,,,"REVISED AUG 11,2022",,,,,,
DO NOT TYPE IN GREY AREA,,Do NOT sort sheet or will  break formulas,,,,,,,,,,,,,,,
FLIGHT*,FROM,ETA*,GATE*,IAB PAX*,IAB BAGS,FIS PAX*,FIS BAGS*,SSR,UMNR WCHR YPTA ETC,,     FLT-CTY/15+PAX ,NOTES ,,,,,
261,MAD,1334,C1,80,77,144,150,1 UMNR 8 YPTA1 WCHR,,,2276/LAX(15) ,,,,,,
123,LHR,1345,C8,81,87,81,89,1 WCHC/WCMP 2 YPTA 2 WCHR,,,1618/CUN(19),,,,,,
991,BCN,1405,C5,106,115,169,181,1 UMNR 8 YPTA,,,1842/DEN(18) 2268/MCO(16) 1399/IAH(15) 2276/LAX(19),,,,,,
951,BRU,1429,C4,125,172,220,294,2 YPTA 3 WCHR 1 WCHS,,,2116/DFW(21) ,,,,,,
885,FCO,1424,C12,135,136,140,121,2 YPTA 2 WCHR,,,2276/LAX(18) ,,,,,,
947,AMS,1435,C6,120,110,104,84,3 YPTA 4 WCHR,,,N/A,,,,,,
1567,MEX,1430,C9,117,129,30,26,7 UMNR 3 YPTA 1 WCHS 3 WCHR,,,N/A,,,,,,
975,GVA,1441,C3,67,66,94,83,1 YPTA 1 WCHR,,,N/A,,,,,,
914,CDG,1454,C2,129,150,146,130,2 UMNR 19 YPTA 2 WCHS,,,1399/IAH(19) 1493/DEN(18) ,,,,,,
943,LIS,1512,C8,63,52,163,140,3 YPTA 1 WCHS,,,2497/ORD(15) 1951/SFO(24),,,,,,
919,LHR,1527,C1,149,169,126,129,3 UMNR 1 WCHC 9 WCHR 1 WCMP 5 WCHS 3 YPTA,,,N/A,,,,,,
983,ATH,1527,C12,118,127,122,135,3 YPTA 2 WCHS 1 WHCR,,,2497/ORD(16) 2012/ORF(15),, ,,,,
1694,CUN,1526*,C11,101,75,75,64,2 WCHR,,,918/LHR(17) 950/BRU(19),,,,,,
979,EDI,1537,C7,70,86,98,99,1 UMNR 1 WCHR,,,N/A,,,,,,
53,ZRH,1544,C5,96,105,65,68,2 WCHS,,,N/A,,,,,,
235,BER,1526,C6,79,86,143,118,6 YPTA 2 UMNR 1 WCMP 1 WCHS 2 WCHR,,,N/A,,,,,,
1614,PUJ,1537*,C9,154,116,23,12,2 WCHS,,,N/A,,,,,,
109,MUC,1551,C3,136,144,132,125,2 UMNR 5 YPTA 3 WCLB 2 WCHS 2 WCHR,,,N/A,,,,,,
988,FRA,1553,C2,159,209,191,209,56 YPTA 3 WCHR 2 WCHS ,,,2497/ORD(27) 1140/TPA(16) ,,,,,,
804,HND,1701,C1,175,258,100,131,7 YPTA 1 WCLB 1 WCHC 2 WCHR,,,N/A,,,,,,
229,DUB,1515,D32,PRECLEAR,PRECLEAR,PRECLEAR,117,1 YPTA 2 WCHS 3 WCHR,,,2268/MCO(19) ,,,,,,
2281,NAS,NO OP,0,PRECLEAR,PRECLEAR,PRECLEAR,0,,,,,,,,,,
1648,AUA,2046*,D6,PRECLEAR,PRECLEAR,PRECLEAR,0,1 WCHS WCHR,,,N/A,,,,,,
0,0,0,0,0,0,0,0,,,,,,,,,,
331,CDG,1927*,C5,275,293,0,0,1 UMNR 4 YPTA 1 WCHR 1 WCHS,,,2275/IAH(22) 2395/DEN(15) 689/MCO(23) 2467/ORD(15),,,,,,
933,FRA,2000*,C3,236,299,0,0,5 WCHS 2 WCHR,,,689/MCO(25) 755/CLE(14),,,,,,
925,LHR,2003*,C7,143,91,0,0,4 WCHR,,,N.A,,,,,,
1133,CUN,2030*,C1,174,132,0,0,1 UMNR 1 WCHS,,,932/FRA(17),,,,,,
0,0,0,0,0,0,0,0,,,,,,,,,,
0,0,0,0,0,0,0,0,,,,,,,,,,
0,0,0,0,0,0,0,0,,,,,,,,,,
 ,,,TOTAL=,3088,3284,2796,2978,,,,,,,,,,
STAR CARRIERS IAB ONLY,,,,STAR CARRIERS FIS FOR CONNECTIONS,,,,,,,,,,,,,
