FLIGHT*,FROM,ETA*,GATE*,IAB PAX*,IAB BAGS,FIS PAX*,FIS BAGS*
261,MAD,13:34,C1,80,77,144,150
123,LHR,13:45,C8,81,87,81,89
991,BCN,14:05,C5,106,115,169,181
951,BRU,14:29,C4,125,172,220,294
885,FCO,14:24,C12,135,136,140,121
947,AMS,14:35,C6,120,110,104,84
1567,MEX,14:30,C9,117,129,30,26
975,GVA,14:41,C3,67,66,94,83
914,CDG,14:54,C2,129,150,146,130
943,LIS,15:12,C8,63,52,163,140
919,LHR,15:27,C1,149,169,126,129
983,ATH,15:27,C12,118,127,122,135
1694,CUN,15:26,C11,101,75,75,64
979,EDI,15:37,C7,70,86,98,99
53,ZRH,15:44,C5,96,105,65,68
235,BER,15:26,C6,79,86,143,118
1614,PUJ,15:37,C9,154,116,23,12
109,MUC,15:51,C3,136,144,132,125
988,FRA,15:53,C2,159,209,191,209
804,HND,17:01,C1,175,258,100,131
